Tool,Text,Delay,Grain,Accuracy,Experiment
VADER,Headline,3,Corn,0.585365854,1
VADER,Headline,3,Soybean,0.643292683,1
VADER,Headline,3,Wheat,0.541538462,1
VADER,Headline,3,Rice,0.506493506,1
VADER,Headline,3,Oat,0.512195122,1
VADER,Headline,5,Corn,0.612804878,1
VADER,Headline,5,Soybean,0.611620795,1
VADER,Headline,5,Wheat,0.590769231,1
VADER,Headline,5,Rice,0.521172638,1
VADER,Headline,5,Oat,0.575,1
VADER,Headline,7,Corn,0.574923547,1
VADER,Headline,7,Soybean,0.613496933,1
VADER,Headline,7,Wheat,0.567901235,1
VADER,Headline,7,Rice,0.473856209,1
VADER,Headline,7,Oat,0.525,1
VADER,Headline,14,Corn,0.596923077,1
VADER,Headline,14,Soybean,0.62654321,1
VADER,Headline,14,Wheat,0.583850932,1
VADER,Headline,14,Rice,0.483552632,1
VADER,Headline,30,Oat,0.486486486,1
VADER,Headline,30,Corn,0.5830721,1
VADER,Headline,30,Soybean,0.630094044,1
VADER,Headline,30,Wheat,0.575949367,1
VADER,Headline,30,Rice,0.515050167,1
VADER,Headline,30,Oat,0.5,1
VADER,Content,1,Corn,0.568389058,2
VADER,Content,1,Soybean,0.631097561,2
VADER,Content,1,Wheat,0.570552147,2
VADER,Content,1,Rice,0.467532468,2
VADER,Content,1,Oat,0.428571429,2
VADER,Content,2,Corn,0.571428571,2
VADER,Content,2,Soybean,0.579268293,2
VADER,Content,2,Wheat,0.521472393,2
VADER,Content,2,Rice,0.496753247,2
VADER,Content,2,Oat,0.487804878,2
VADER,Content,3,Corn,0.603658537,2
VADER,Content,3,Soybean,0.582317073,2
VADER,Content,3,Wheat,0.538461538,2
VADER,Content,3,Rice,0.49025974,2
VADER,Content,3,Oat,0.585365854,2
VADER,Content,5,Corn,0.56097561,2
VADER,Content,5,Soybean,0.577981651,2
VADER,Content,5,Wheat,0.563076923,2
VADER,Content,5,Rice,0.488599349,2
VADER,Content,5,Oat,0.6,2
VADER,Content,7,Corn,0.577981651,2
VADER,Content,7,Soybean,0.585889571,2
VADER,Content,7,Wheat,0.546296296,2
VADER,Content,7,Rice,0.506535948,2
VADER,Content,7,Oat,0.475,2
VADER,Content,14,Corn,0.575384615,2
VADER,Content,14,Soybean,0.543209877,2
VADER,Content,14,Wheat,0.50310559,2
VADER,Content,14,Rice,0.5,2
VADER,Content,30,Oat,0.351351351,2
VADER,Content,30,Corn,0.589341693,2
VADER,Content,30,Soybean,0.630094044,2
VADER,Content,30,Wheat,0.550632911,2
VADER,Content,30,Rice,0.508361204,2
VADER,Content,30,Oat,0.5,2
VADER,Headline,1,Corn,0.653495441,2
VADER,Headline,1,Soybean,0.695121951,2
VADER,Headline,1,Wheat,0.622699387,2
VADER,Headline,1,Rice,0.467532468,2
VADER,Headline,1,Oat,0.428571429,2
VADER,Headline,2,Corn,0.601823708,2
VADER,Headline,2,Soybean,0.673780488,2
VADER,Headline,2,Wheat,0.610429448,2
VADER,Headline,2,Rice,0.496753247,2
VADER,Headline,2,Oat,0.487804878,2
VADER,Headline,3,Corn,0.631097561,2
VADER,Headline,3,Soybean,0.667682927,2
VADER,Headline,3,Wheat,0.572307692,2
VADER,Headline,3,Rice,0.49025974,2
VADER,Headline,3,Oat,0.512195122,2
VADER,Headline,5,Corn,0.670731707,2
VADER,Headline,5,Soybean,0.703363914,2
VADER,Headline,5,Wheat,0.563076923,2
VADER,Headline,5,Rice,0.48534202,2
VADER,Headline,5,Oat,0.525,2
VADER,Headline,7,Corn,0.620795107,2
VADER,Headline,7,Soybean,0.653374233,2
VADER,Headline,7,Wheat,0.567901235,2
VADER,Headline,7,Rice,0.516339869,2
VADER,Headline,7,Oat,0.475,2
VADER,Headline,14,Corn,0.627692308,2
VADER,Headline,14,Soybean,0.648148148,2
VADER,Headline,14,Wheat,0.633540373,2
VADER,Headline,14,Rice,0.5,2
VADER,Headline,30,Oat,0.351351351,2
VADER,Headline,30,Corn,0.626959248,2
VADER,Headline,30,Soybean,0.648902821,2
VADER,Headline,30,Wheat,0.588607595,2
VADER,Headline,30,Rice,0.474916388,2
VADER,Headline,30,Oat,0.5,2
VADER,Content,1,Corn,0.598784195,3a
VADER,Content,1,Soybean,0.664634146,3a
VADER,Content,1,Wheat,0.585889571,3a
VADER,Content,1,Rice,0.451298701,3a
VADER,Content,1,Oat,0.523809524,3a
VADER,Content,2,Corn,0.577507599,3a
VADER,Content,2,Soybean,0.634146341,3a
VADER,Content,2,Wheat,0.552147239,3a
VADER,Content,2,Rice,0.477272727,3a
VADER,Content,2,Oat,0.609756098,3a
VADER,Content,3,Corn,0.576219512,3a
VADER,Content,3,Soybean,0.618902439,3a
VADER,Content,3,Wheat,0.572307692,3a
VADER,Content,3,Rice,0.50974026,3a
VADER,Content,3,Oat,0.512195122,3a
VADER,Content,5,Corn,0.62195122,3a
VADER,Content,5,Soybean,0.611620795,3a
VADER,Content,5,Wheat,0.572307692,3a
VADER,Content,5,Rice,0.498371336,3a
VADER,Content,5,Oat,0.6,3a
VADER,Content,7,Corn,0.602446483,3a
VADER,Content,7,Soybean,0.613496933,3a
VADER,Content,7,Wheat,0.580246914,3a
VADER,Content,7,Rice,0.5,3a
VADER,Content,7,Oat,0.575,3a
VADER,Content,14,Corn,0.578461538,3a
VADER,Content,14,Soybean,0.598765432,3a
VADER,Content,14,Wheat,0.611801242,3a
VADER,Content,14,Rice,0.486842105,3a
VADER,Content,30,Oat,0.594594595,3a
VADER,Content,30,Corn,0.620689655,3a
VADER,Content,30,Soybean,0.63322884,3a
VADER,Content,30,Wheat,0.585443038,3a
VADER,Content,30,Rice,0.488294314,3a
VADER,Content,30,Oat,0.5625,3a
VADER,Headline,1,Corn,0.650455927,3a
VADER,Headline,1,Soybean,0.68902439,3a
VADER,Headline,1,Wheat,0.613496933,3a
VADER,Headline,1,Rice,0.467532468,3a
VADER,Headline,1,Oat,0.476190476,3a
VADER,Headline,2,Corn,0.623100304,3a
VADER,Headline,2,Soybean,0.664634146,3a
VADER,Headline,2,Wheat,0.601226994,3a
VADER,Headline,2,Rice,0.5,3a
VADER,Headline,2,Oat,0.463414634,3a
VADER,Headline,3,Corn,0.634146341,3a
VADER,Headline,3,Soybean,0.655487805,3a
VADER,Headline,3,Wheat,0.581538462,3a
VADER,Headline,3,Rice,0.506493506,3a
VADER,Headline,3,Oat,0.43902439,3a
VADER,Headline,5,Corn,0.670731707,3a
VADER,Headline,5,Soybean,0.685015291,3a
VADER,Headline,5,Wheat,0.581538462,3a
VADER,Headline,5,Rice,0.482084691,3a
VADER,Headline,5,Oat,0.525,3a
VADER,Headline,7,Corn,0.620795107,3a
VADER,Headline,7,Soybean,0.650306748,3a
VADER,Headline,7,Wheat,0.592592593,3a
VADER,Headline,7,Rice,0.470588235,3a
VADER,Headline,7,Oat,0.475,3a
VADER,Headline,14,Corn,0.624615385,3a
VADER,Headline,14,Soybean,0.657407407,3a
VADER,Headline,14,Wheat,0.624223602,3a
VADER,Headline,14,Rice,0.5,3a
VADER,Headline,30,Oat,0.486486486,3a
VADER,Headline,30,Corn,0.626959248,3a
VADER,Headline,30,Soybean,0.636363636,3a
VADER,Headline,30,Wheat,0.613924051,3a
VADER,Headline,30,Rice,0.505016722,3a
VADER,Headline,30,Oat,0.5,3a
SENTIWORDNET,Content,1,Corn,0.513677812,3a
SENTIWORDNET,Content,1,Soybean,0.603658537,3a
SENTIWORDNET,Content,1,Wheat,0.561349693,3a
SENTIWORDNET,Content,1,Rice,0.503246753,3a
SENTIWORDNET,Content,1,Oat,0.475,3a
SENTIWORDNET,Content,2,Corn,0.571428571,3a
SENTIWORDNET,Content,2,Soybean,0.588414634,3a
SENTIWORDNET,Content,2,Wheat,0.549079755,3a
SENTIWORDNET,Content,2,Rice,0.467532468,3a
SENTIWORDNET,Content,2,Oat,0.475,3a
SENTIWORDNET,Content,3,Corn,0.512195122,3a
SENTIWORDNET,Content,3,Soybean,0.609756098,3a
SENTIWORDNET,Content,3,Wheat,0.553846154,3a
SENTIWORDNET,Content,3,Rice,0.50974026,3a
SENTIWORDNET,Content,3,Oat,0.425,3a
SENTIWORDNET,Content,5,Corn,0.539634146,3a
SENTIWORDNET,Content,5,Soybean,0.581039755,3a
SENTIWORDNET,Content,5,Wheat,0.593846154,3a
SENTIWORDNET,Content,5,Rice,0.495114007,3a
SENTIWORDNET,Content,5,Oat,0.435897436,3a
SENTIWORDNET,Content,7,Corn,0.562691131,3a
SENTIWORDNET,Content,7,Soybean,0.567484663,3a
SENTIWORDNET,Content,7,Wheat,0.546296296,3a
SENTIWORDNET,Content,7,Rice,0.480392157,3a
SENTIWORDNET,Content,7,Oat,0.526315789,3a
SENTIWORDNET,Content,14,Corn,0.516923077,3a
SENTIWORDNET,Content,14,Soybean,0.543209877,3a
SENTIWORDNET,Content,14,Wheat,0.565217391,3a
SENTIWORDNET,Content,14,Rice,0.516447368,3a
SENTIWORDNET,Content,30,Oat,0.527777778,3a
SENTIWORDNET,Content,30,Corn,0.567398119,3a
SENTIWORDNET,Content,30,Soybean,0.551724138,3a
SENTIWORDNET,Content,30,Wheat,0.585443038,3a
SENTIWORDNET,Content,30,Rice,0.498327759,3a
SENTIWORDNET,Content,30,Oat,0.516129032,3a
SENTIWORDNET,Headline,1,Corn,0.559139785,3a
SENTIWORDNET,Headline,1,Soybean,0.597826087,3a
SENTIWORDNET,Headline,1,Wheat,0.52238806,3a
SENTIWORDNET,Headline,1,Rice,0.52027027,3a
SENTIWORDNET,Headline,1,Oat,0.5,3a
SENTIWORDNET,Headline,2,Corn,0.573476703,3a
SENTIWORDNET,Headline,2,Soybean,0.583333333,3a
SENTIWORDNET,Headline,2,Wheat,0.558052434,3a
SENTIWORDNET,Headline,2,Rice,0.52027027,3a
SENTIWORDNET,Headline,2,Oat,0.5,3a
SENTIWORDNET,Headline,3,Corn,0.586330935,3a
SENTIWORDNET,Headline,3,Soybean,0.610909091,3a
SENTIWORDNET,Headline,3,Wheat,0.5917603,3a
SENTIWORDNET,Headline,3,Rice,0.52027027,3a
SENTIWORDNET,Headline,3,Oat,0.5,3a
SENTIWORDNET,Headline,5,Corn,0.535971223,3a
SENTIWORDNET,Headline,5,Soybean,0.589090909,3a
SENTIWORDNET,Headline,5,Wheat,0.535580524,3a
SENTIWORDNET,Headline,5,Rice,0.493243243,3a
SENTIWORDNET,Headline,5,Oat,0.5,3a
SENTIWORDNET,Headline,7,Corn,0.577617329,3a
SENTIWORDNET,Headline,7,Soybean,0.614545455,3a
SENTIWORDNET,Headline,7,Wheat,0.535580524,3a
SENTIWORDNET,Headline,7,Rice,0.493243243,3a
SENTIWORDNET,Headline,7,Oat,0.5,3a
SENTIWORDNET,Headline,14,Corn,0.610909091,3a
SENTIWORDNET,Headline,14,Soybean,0.569852941,3a
SENTIWORDNET,Headline,14,Wheat,0.581132075,3a
SENTIWORDNET,Headline,14,Rice,0.493150685,3a
SENTIWORDNET,Headline,30,Oat,0.5,3a
SENTIWORDNET,Headline,30,Corn,0.569852941,3a
SENTIWORDNET,Headline,30,Soybean,0.593283582,3a
SENTIWORDNET,Headline,30,Wheat,0.528735632,3a
SENTIWORDNET,Headline,30,Rice,0.465277778,3a
SENTIWORDNET,Headline,30,Oat,0.428571429,3a
VADER,Content,1,Corn,0.594202899,3b
VADER,Content,1,Soybean,0.622093023,3b
VADER,Content,1,Wheat,0.530612245,3b
VADER,Content,1,Rice,0.432176656,3b
VADER,Content,1,Oat,0.582278481,3b
VADER,Content,2,Corn,0.60755814,3b
VADER,Content,2,Soybean,0.61627907,3b
VADER,Content,2,Wheat,0.530612245,3b
VADER,Content,2,Rice,0.482649842,3b
VADER,Content,2,Oat,0.58974359,3b
VADER,Content,3,Corn,0.558139535,3b
VADER,Content,3,Soybean,0.609329446,3b
VADER,Content,3,Wheat,0.501457726,3b
VADER,Content,3,Rice,0.452531646,3b
VADER,Content,3,Oat,0.525641026,3b
VADER,Content,5,Corn,0.60058309,3b
VADER,Content,5,Soybean,0.583090379,3b
VADER,Content,5,Wheat,0.540935673,3b
VADER,Content,5,Rice,0.509493671,3b
VADER,Content,5,Oat,0.61038961,3b
VADER,Content,7,Corn,0.606413994,3b
VADER,Content,7,Soybean,0.532163743,3b
VADER,Content,7,Wheat,0.521994135,3b
VADER,Content,7,Rice,0.492063492,3b
VADER,Content,7,Oat,0.545454545,3b
VADER,Content,14,Corn,0.585294118,3b
VADER,Content,14,Soybean,0.614705882,3b
VADER,Content,14,Wheat,0.557522124,3b
VADER,Content,14,Rice,0.45686901,3b
VADER,Content,30,Oat,0.608108108,3b
VADER,Content,30,Corn,0.597014925,3b
VADER,Content,30,Soybean,0.592814371,3b
VADER,Content,30,Wheat,0.502994012,3b
VADER,Content,30,Rice,0.465798046,3b
VADER,Content,30,Oat,0.507246377,3b
VADER,Headline,1,Corn,0.581325301,3b
VADER,Headline,1,Soybean,0.627272727,3b
VADER,Headline,1,Wheat,0.571428571,3b
VADER,Headline,1,Rice,0.477564103,3b
VADER,Headline,1,Oat,0.476190476,3b
VADER,Headline,2,Corn,0.602409639,3b
VADER,Headline,2,Soybean,0.648484848,3b
VADER,Headline,2,Wheat,0.591463415,3b
VADER,Headline,2,Rice,0.501607717,3b
VADER,Headline,2,Oat,0.463414634,3b
VADER,Headline,3,Corn,0.626506024,3b
VADER,Headline,3,Soybean,0.645454545,3b
VADER,Headline,3,Wheat,0.527439024,3b
VADER,Headline,3,Rice,0.475884244,3b
VADER,Headline,3,Oat,0.43902439,3b
VADER,Headline,5,Corn,0.598187311,3b
VADER,Headline,5,Soybean,0.629179331,3b
VADER,Headline,5,Wheat,0.510703364,3b
VADER,Headline,5,Rice,0.448387097,3b
VADER,Headline,5,Oat,0.525,3b
VADER,Headline,7,Corn,0.575757576,3b
VADER,Headline,7,Soybean,0.646341463,3b
VADER,Headline,7,Wheat,0.584097859,3b
VADER,Headline,7,Rice,0.496774194,3b
VADER,Headline,7,Oat,0.475,3b
VADER,Headline,14,Corn,0.615853659,3b
VADER,Headline,14,Soybean,0.671779141,3b
VADER,Headline,14,Wheat,0.648148148,3b
VADER,Headline,14,Rice,0.504885993,3b
VADER,Headline,30,Oat,0.486486486,3b
VADER,Headline,30,Corn,0.650154799,3b
VADER,Headline,30,Soybean,0.657320872,3b
VADER,Headline,30,Wheat,0.595611285,3b
VADER,Headline,30,Rice,0.48013245,3b
VADER,Headline,30,Oat,0.5,3b
SENTIWORDNET,Content,1,Corn,0.533333333,3b
SENTIWORDNET,Content,1,Soybean,0.529069767,3b
SENTIWORDNET,Content,1,Wheat,0.551020408,3b
SENTIWORDNET,Content,1,Rice,0.476340694,3b
SENTIWORDNET,Content,1,Oat,0.441558442,3b
SENTIWORDNET,Content,2,Corn,0.561046512,3b
SENTIWORDNET,Content,2,Soybean,0.604651163,3b
SENTIWORDNET,Content,2,Wheat,0.533527697,3b
SENTIWORDNET,Content,2,Rice,0.463722397,3b
SENTIWORDNET,Content,2,Oat,0.38961039,3b
SENTIWORDNET,Content,3,Corn,0.529069767,3b
SENTIWORDNET,Content,3,Soybean,0.565597668,3b
SENTIWORDNET,Content,3,Wheat,0.55393586,3b
SENTIWORDNET,Content,3,Rice,0.465189873,3b
SENTIWORDNET,Content,3,Oat,0.454545455,3b
SENTIWORDNET,Content,5,Corn,0.533527697,3b
SENTIWORDNET,Content,5,Soybean,0.556851312,3b
SENTIWORDNET,Content,5,Wheat,0.535087719,3b
SENTIWORDNET,Content,5,Rice,0.449367089,3b
SENTIWORDNET,Content,5,Oat,0.421052632,3b
SENTIWORDNET,Content,7,Corn,0.559766764,3b
SENTIWORDNET,Content,7,Soybean,0.573099415,3b
SENTIWORDNET,Content,7,Wheat,0.516129032,3b
SENTIWORDNET,Content,7,Rice,0.453968254,3b
SENTIWORDNET,Content,7,Oat,0.466666667,3b
SENTIWORDNET,Content,14,Corn,0.544117647,3b
SENTIWORDNET,Content,14,Soybean,0.558823529,3b
SENTIWORDNET,Content,14,Wheat,0.530973451,3b
SENTIWORDNET,Content,14,Rice,0.504792332,3b
SENTIWORDNET,Content,30,Oat,0.534246575,3b
SENTIWORDNET,Content,30,Corn,0.573134328,3b
SENTIWORDNET,Content,30,Soybean,0.538922156,3b
SENTIWORDNET,Content,30,Wheat,0.538922156,3b
SENTIWORDNET,Content,30,Rice,0.469055375,3b
SENTIWORDNET,Content,30,Oat,0.558823529,3b
SENTIWORDNET,Headline,1,Corn,0.554006969,3b
SENTIWORDNET,Headline,1,Soybean,0.554770318,3b
SENTIWORDNET,Headline,1,Wheat,0.567272727,3b
SENTIWORDNET,Headline,1,Rice,0.473684211,3b
SENTIWORDNET,Headline,1,Oat,0.5,3b
SENTIWORDNET,Headline,2,Corn,0.599303136,3b
SENTIWORDNET,Headline,2,Soybean,0.570921986,3b
SENTIWORDNET,Headline,2,Wheat,0.576642336,3b
SENTIWORDNET,Headline,2,Rice,0.473684211,3b
SENTIWORDNET,Headline,2,Oat,0.5,3b
SENTIWORDNET,Headline,3,Corn,0.581881533,3b
SENTIWORDNET,Headline,3,Soybean,0.606382979,3b
SENTIWORDNET,Headline,3,Wheat,0.52919708,3b
SENTIWORDNET,Headline,3,Rice,0.532894737,3b
SENTIWORDNET,Headline,3,Oat,0.5,3b
SENTIWORDNET,Headline,5,Corn,0.594405594,3b
SENTIWORDNET,Headline,5,Soybean,0.56227758,3b
SENTIWORDNET,Headline,5,Wheat,0.594890511,3b
SENTIWORDNET,Headline,5,Rice,0.552631579,3b
SENTIWORDNET,Headline,5,Oat,0.5,3b
SENTIWORDNET,Headline,7,Corn,0.611888112,3b
SENTIWORDNET,Headline,7,Soybean,0.587188612,3b
SENTIWORDNET,Headline,7,Wheat,0.594890511,3b
SENTIWORDNET,Headline,7,Rice,0.552631579,3b
SENTIWORDNET,Headline,7,Oat,0.5,3b
SENTIWORDNET,Headline,14,Corn,0.591549296,3b
SENTIWORDNET,Headline,14,Soybean,0.584229391,3b
SENTIWORDNET,Headline,14,Wheat,0.558823529,3b
SENTIWORDNET,Headline,14,Rice,0.493333333,3b
SENTIWORDNET,Headline,30,Oat,0.5,3b
SENTIWORDNET,Headline,30,Corn,0.582142857,3b
SENTIWORDNET,Headline,30,Soybean,0.558394161,3b
SENTIWORDNET,Headline,30,Wheat,0.593283582,3b
SENTIWORDNET,Headline,30,Rice,0.452702703,3b
SENTIWORDNET,Headline,30,Oat,0.428571429,3b
